product_name,product_price,url
Ozito Power X Change 18V Brushless Impact Wrench - Skin Only,99.0,https://www.bunnings.com.au/ozito-power-x-change-18v-brushless-impact-wrench-skin-only_p6290566
Ozito Power X Change 18V Impact Driver - Skin Only,49.0,https://www.bunnings.com.au/ozito-power-x-change-18v-impact-driver-skin-only_p6290472
Ozito Power X Change 18V Brushless Impact Wrench - Skin Only,99.0,https://www.bunnings.com.au/ozito-power-x-change-18v-brushless-impact-wrench-skin-only_p6290566
Ozito Power X Change 18V Impact Driver - Skin Only,49.0,https://www.bunnings.com.au/ozito-power-x-change-18v-impact-driver-skin-only_p6290472
